sentiment|sentence
0|stuck at home 
1|@nicolerichie that was my favorite show/series when i was little! 
1|Writin' my 4 pages of notes for my Media Exam this Afternoon, while listenin' to Keith Urban, Taylor Swift n' Dierks Bentley 
0|@sanasaleem Since when? I'm officially broke, everyone knows that 
0|@nrg07 i knooww.. i once watched marley and me and oprah at the same day, and i sick of crying 
0|"i really feel bad bout eating a cheeseburger and a donut for dinner  ugh! i so need to burn this off tomorrow! :| darn McDonalds!!!!"
0|hates waiting for mails 
0|@huntermoore I don't want him to ever punch me.  
1|LOL LOL if you're looking for good laugh, check out the homie @astronautKI facebook page 
1|@Oprah ...now I am curious to watch it.  And will, tomorrow Sunday if I can. Thanks!   
1|is interested to see what #Sony plans for their #E3 conference: they might get a new PSP customer out of this is in me if it's good 
1|had a great ending to a great day!  Being brave pays off.  Thank you Jesus-seriously.  Now off to watch the Hills and then bed!
1|@IndieArtDesign well you will be excited to know, Kevin will be the new featured artist for our next Sydney flyer 
0|stupid arranged marriages... i'll convert so you can marry me...love you! 
0|in seattle...and sick  hate my life right now
0|Hi there folks, hope you're having a great day &amp; not suffering with hayfever as much as me. My tablets don't seem to work anymore 
0|Selena made me want to go to starbucks 
0|is SO sick of watching him play xbox 360  somebody humor me PLEEEEEEEEEEEASE!!!
1|Wow, another sunny day in London! Maybe it really has changed its mind about being a miserable sod all the time 
1|@nicolerichie only one of the best sappy love stories ever 
